Accession Number,Is Public Domain,Object ID,Department,Accession Year,Object Name,Title,Culture,Period,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,County,Country,Region,Classification,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL,,,,,,,,,,,,,,,,
"42.149.32a, b",TRUE,2153,The American Wing,1942,Coffeepot,Coffeepot,Chinese,,,,,,,,,,,,,,,1800–1815,1800,1815,Porcelain,H. 10 in. (25.4 cm),"Gift of Mrs. J. Insley Blair, 1942",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2153,https://www.wikidata.org/wiki/Q116371692,,"Metropolitan Museum of Art, New York, NY",Eagles,http://vocab.getty.edu/page/aat/300250049,https://www.wikidata.org/wiki/Q2092297,,,,,,,,,,,,,,,,
38.165.38,TRUE,2353,The American Wing,1938,Cream pot,Creamer,Chinese,,,,,,,,,,,,,,,1785–1805,1785,1805,Porcelain,H. 5 3/4 in. (14.6 cm),"Harris Brisbane Dick Fund, 1938",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2353,https://www.wikidata.org/wiki/Q116371506,,"Metropolitan Museum of Art, New York, NY",Coat of Arms,http://vocab.getty.edu/page/aat/300126352,https://www.wikidata.org/wiki/Q14659,,,,,,,,,,,,,,,,
"46.67.25a, b",TRUE,2392,The American Wing,1946,Vase,Covered Vase,Chinese,,,,,,,,,,,,,,,1785–1815,1785,1815,Porcelain,H. 14 3/4 in. (37.5 cm),"Gift of the Members of the Committee of the Bertha King Benkard Memorial Fund, 1946",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2392,https://www.wikidata.org/wiki/Q116371457,,"Metropolitan Museum of Art, New York, NY",Landscapes,http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q191163,,,,,,,,,,,,,,,,
"46.67.26a, b",TRUE,2393,The American Wing,1946,Vase,Covered Vase,Chinese,,,,,,,,,,,,,,,1785–1815,1785,1815,Porcelain,H. 14 3/4 in. (37.5 cm),"Gift of the Members of the Committee of the Bertha King Benkard Memorial Fund, 1946",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2393,https://www.wikidata.org/wiki/Q116371447,,"Metropolitan Museum of Art, New York, NY",Landscapes,http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q191163,,,,,,,,,,,,,,,,
"60.111.29a, b",TRUE,2454,The American Wing,1960,Sauceboat,Covered Sauceboat,"Chinese, for American market",,,,,,,,,,,,,,,1790–1800,1790,1800,Porcelain,H. 6 7/16 in. (16.4 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2454,https://www.wikidata.org/wiki/Q116371367,,"Metropolitan Museum of Art, New York, NY",,,,,,,,, ,,,,,,,,,,
"60.111.30a, b",TRUE,2455,The American Wing,1960,Sauceboat,Covered Sauceboat,"Chinese, for American market",,,,,,,,,,,,,,,1790–1800,1790,1800,Porcelain,H. 6 7/16 in. (16.4 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2455,https://www.wikidata.org/wiki/Q116371381,,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,         
"60.111.51a, b",TRUE,2457,The American Wing,1960,Sauceboat,Covered Sauceboat,"Chinese, for American market",,,,,,,,,,,,,,,ca. 1860–66,1860,1866,Porcelain,H. 6 3/16 in. (15.7 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2457,https://www.wikidata.org/wiki/Q116371379,,"Metropolitan Museum of Art, New York, NY",Flowers,http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q506,,,,,,,,,,,,,,,,
"60.111.45a, b",TRUE,2458,The American Wing,1960,Serving dish,Covered Serving Dish,"Chinese, for American market",,,,,,,,,,,,,,,ca. 1860–66,1860,1866,Porcelain,H. 5 9/16 in. (14.1 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2458,https://www.wikidata.org/wiki/Q116371363,,"Metropolitan Museum of Art, New York, NY",Birds|Butterflies|Flowers,http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300417320|http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q11946202|https://www.wikidata.org/wiki/Q506,,,,,,,,,,,,,,,,
"60.111.46a, b",TRUE,2459,The American Wing,1960,Serving dish,Covered Serving Dish,"Chinese, for American market",,,,,,,,,,,,,,,ca. 1860–66,1860,1866,Porcelain,H. 5 1/2 in. (14 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2459,https://www.wikidata.org/wiki/Q116371375,,"Metropolitan Museum of Art, New York, NY",Birds|Butterflies|Flowers,http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300417320|http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q11946202|https://www.wikidata.org/wiki/Q506,,,,,,,,,,,,,,,,
"60.111.47a, b",TRUE,2460,The American Wing,1960,Serving dish,Covered Serving Dish,"Chinese, for American market",,,,,,,,,,,,,,,ca. 1860–66,1860,1866,Porcelain,H. 4 13/16 in. (12.2 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2460,https://www.wikidata.org/wiki/Q116371373,,"Metropolitan Museum of Art, New York, NY",Birds|Flowers,http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q506,,,,,,,,,,,,,,,,
"60.111.42a, b",TRUE,2463,The American Wing,1960,Serving dish,Covered Serving Dish,"Chinese, for American market",,,,,,,,,,,,,,,ca. 1860–66,1860,1866,Porcelain,4 1/4 x 8 3/4 x 10 13/16 in. (10.8 x 22.2 x 27.5 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2463,https://www.wikidata.org/wiki/Q116371372,,"Metropolitan Museum of Art, New York, NY",Birds|Butterflies|Flowers,http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300417320|http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q11946202|https://www.wikidata.org/wiki/Q506,,,,,,,,,,,,,,,,
"60.111.43a, b",TRUE,2464,The American Wing,1960,Serving dish,Covered Serving Dish,"Chinese, for American market",,,,,,,,,,,,,,,ca. 1860–66,1860,1866,Porcelain,3 5/8 x 7 3/8 x 9 5/8 in. (9.2 x 18.7 x 24.4 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2464,https://www.wikidata.org/wiki/Q116371377,,"Metropolitan Museum of Art, New York, NY",Birds|Butterflies|Flowers,http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300417320|http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q11946202|https://www.wikidata.org/wiki/Q506,,,,,,,,,,,,,,,,
"60.111.44a, b",TRUE,2465,The American Wing,1960,Serving dish,Covered Serving Dish,"Chinese, for American market",,,,,,,,,,,,,,,ca. 1860–66,1860,1866,Porcelain,3 11/16 x 7 5/16 x 9 1/4 in. (9.4 x 18.6 x 23.5 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2465,https://www.wikidata.org/wiki/Q116371369,,"Metropolitan Museum of Art, New York, NY",Birds|Flowers,http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q506,,,,,,,,,,,,,,,,
"42.149.3a, b",TRUE,2487,The American Wing,1942,Sugar bowl,Covered Sugar Bowl,Chinese,,,,,,,,,,,,,,,1770–1830,1770,1830,Porcelain,H. 5 3/4 in. (14.6 cm),"Gift of Mrs. J. Insley Blair, 1942",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2487,https://www.wikidata.org/wiki/Q116371346,,"Metropolitan Museum of Art, New York, NY",Eagles,http://vocab.getty.edu/page/aat/300250049,https://www.wikidata.org/wiki/Q2092297,,,,,,,,,,,,,,,,
42.149.35a–c,TRUE,2526,The American Wing,1942,Sugar bowl,Sugar Bowl,Chinese,,,,,,,,,,,,,,,1800–1815,1800,1815,Porcelain,H. 5 3/8 in. (13.7 cm); Diam. 6 1/8 in. (15.6 cm),"Gift of Mrs. J. Insley Blair, 1942",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2526,https://www.wikidata.org/wiki/Q116371295,,"Metropolitan Museum of Art, New York, NY",Eagles,http://vocab.getty.edu/page/aat/300250049,https://www.wikidata.org/wiki/Q2092297,,,,,,,,,,,,,,,,
"60.111.27a, b",TRUE,2548,The American Wing,1960,Tureen,Tureen,"Chinese, for American market",,,,,,,,,,,,,,,1790–1800,1790,1800,Porcelain,10 3/4 x 9 3/8 x 13 15/16 in. (27.3 x 23.8 x 35.4 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2548,https://www.wikidata.org/wiki/Q116371241,,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,
"60.111.33a, b",TRUE,2549,The American Wing,1960,Tureen,Covered Tureen,"Chinese, for American market",,,,,,,,,,,,,,,ca. 1860–66,1860,1866,Porcelain,H. 10 3/8 in. (26.4 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2549,https://www.wikidata.org/wiki/Q116371234,,"Metropolitan Museum of Art, New York, NY",Birds|Butterflies,http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300417320,https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q11946202,,,,,,,,,,,,,,,,
1973.63,TRUE,2552,The American Wing,1973,Urn,Covered Urn,Chinese,,,,,,,,,,,,,,,ca. 1800,1797,1800,Porcelain,17 1/2 x 10 in. (44.5 x 25.4 cm),"Bequest of Claire L. Wilson, 1967",Made in|Object place,,,China|NEW ZEALAND ROTORUA WHAKAREWAREWA,,,http://www.metmuseum.org/art/collection/search/2552,https://www.wikidata.org/wiki/Q116250517,,"Metropolitan Museum of Art, New York, NY",Flowers|Boats,http://vocab.getty.edu/page/aat/300132399|http://vocab.getty.edu/page/aat/300178749,https://www.wikidata.org/wiki/Q506|https://www.wikidata.org/wiki/Q35872,,,,,,,,,,,,,,,,
"54.87.34 a,b",TRUE,2553,The American Wing,1954,Urn,Covered Urn,Chinese,,,,,,,,,,,,,,,1785–1815,1785,1815,Porcelain,H. 16 1/8 in. (41 cm),"Gift of Mrs. W. Murray Crane, 1954",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2553,https://www.wikidata.org/wiki/Q116371236,,"Metropolitan Museum of Art, New York, NY",Landscapes,http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q191163,,,,,,,,,,,,,,,,
"54.87.35a, b",TRUE,2554,The American Wing,1954,Urn,Covered Urn,Chinese,,,,,,,,,,,,,,,1785–1815,1785,1815,Porcelain,H. 16 3/16 in. (41.1 cm),"Gift of Mrs. W. Murray Crane, 1954",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2554,https://www.wikidata.org/wiki/Q116371239,,"Metropolitan Museum of Art, New York, NY",Landscapes,http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q191163,,,,,,,,,,,,,,,,
"39.128a, b",TRUE,2555,The American Wing,1939,Vase,Covered Vase,Chinese,,,,,,,,,,,,,,,1790–1800,1790,1800,Porcelain,H. 11 1/4 in. (28.6 cm),"Gift of R. Thornton Wilson, 1939",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2555,https://www.wikidata.org/wiki/Q116371232,,"Metropolitan Museum of Art, New York, NY",Eagles,http://vocab.getty.edu/page/aat/300250049,https://www.wikidata.org/wiki/Q2092297,,,,,,,,,,,,,,,,
"50.123.1a, b",TRUE,2560,The American Wing,1950,Vase,Covered Vase,Chinese,,,,,,,,,,,,,,,1770–1800,1770,1800,Porcelain,H. 29 1/8 in. (74 cm),"Anonymous Gift, 1950",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2560,https://www.wikidata.org/wiki/Q116371223,,"Metropolitan Museum of Art, New York, NY",Flowers,http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q506,,,,,,,,,,,,,,,,
"50.123.2a, b",TRUE,2561,The American Wing,1950,Vase,Covered Vase,Chinese,,,,,,,,,,,,,,,1770–1800,1770,1800,Porcelain,H. 28 7/8 in. (73.3 cm),"Anonymous Gift, 1950",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2561,https://www.wikidata.org/wiki/Q116371225,,"Metropolitan Museum of Art, New York, NY",Flowers,http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q506,,,,,,,,,,,,,,,,
35.25.1,TRUE,2611,The American Wing,1935,Cream pitcher,Cream Pitcher,Chinese,,,,,,,,,,,,,,,1770–1800,1770,1800,Porcelain,H. 5 3/8 in. (13.7 cm),"Gift of Mrs. Edward S. Harkness, 1935",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2611,https://www.wikidata.org/wiki/Q116371185,,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,
41.43.2,TRUE,2613,The American Wing,1941,Cream pitcher,Cream Pitcher,Chinese,,,,,,,,,,,,,,,1770–1800,1770,1800,Porcelain,H. 5 1/4 in. (13.3 cm),"Rogers Fund, 1941",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2613,https://www.wikidata.org/wiki/Q116371169,,"Metropolitan Museum of Art, New York, NY",Eagles,http://vocab.getty.edu/page/aat/300250049,https://www.wikidata.org/wiki/Q2092297,,,,,,,,,,,,,,,,
42.149.36,TRUE,2736,The American Wing,1942,Cream pot,Creamer,Chinese,,,,,,,,,,,,,,,1800–1815,1800,1815,Porcelain,H. 5 3/8 in. (13.7 cm),"Gift of Mrs. J. Insley Blair, 1942",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2736,https://www.wikidata.org/wiki/Q116371022,,"Metropolitan Museum of Art, New York, NY",Eagles,http://vocab.getty.edu/page/aat/300250049,https://www.wikidata.org/wiki/Q2092297,,,,,,,,,,,,,,,,
35.25.4,TRUE,2771,The American Wing,1935,Cup,Cup,Chinese,,,,,,,,,,,,,,,1770–1800,1770,1800,Porcelain,H. 2 1/16 in. (5.2 cm); Diam. 3 1/2 in. (8.9 cm),"Gift of Mrs. Edward S. Harkness, 1935",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2771,https://www.wikidata.org/wiki/Q116370948,,"Metropolitan Museum of Art, New York, NY",Coat of Arms,http://vocab.getty.edu/page/aat/300126352,https://www.wikidata.org/wiki/Q14659,,,,,,,,,,,,,,,,
"48.172.4, .5",TRUE,2777,The American Wing,1948,Cup and saucer,Cup and Saucer,Chinese,,,,,,,,,,,,,,,1853–57,1853,1857,Porcelain,"Cup: H. 1 3/4 in. (4.4 cm); Diam. 3 1/2 in. (8.9 cm)
Saucer: Diam. 6 1/2 in. (16.5 cm)","Gift of Charles K. Davis, 1948",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2777,https://www.wikidata.org/wiki/Q116370942,,"Metropolitan Museum of Art, New York, NY",Eagles,http://vocab.getty.edu/page/aat/300250049,https://www.wikidata.org/wiki/Q2092297,,,,,,,,,,,,,,,,
1977.216.1,TRUE,2783,The American Wing,1977,Cup,Cup,"Chinese, for American market",,,,,,,,,,,,,,,1825–50,1825,1850,Porcelain,H. 2 9/16 in. (6.5 cm); Diam. 3 1/2 in. (8.9 cm),"Bequest of R. Thornton Wilson, in memory of his wife, Florence Ellsworth Wilson, 1977",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2783,https://www.wikidata.org/wiki/Q116370931,,"Metropolitan Museum of Art, New York, NY",Eagles|Men,http://vocab.getty.edu/page/aat/300250049|http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q2092297|https://www.wikidata.org/wiki/Q8441,,,,,,,,,,,,,,,,
"60.111.21, .22",TRUE,2799,The American Wing,1960,Cup and saucer,Cup and Saucer,"Chinese, for American market",,,,,,,,,,,,,,,1770–1800,1770,1800,Porcelain,"Cup: H. 2 in. (5.1 cm); Diam. 5 9/16 in. (14.1 cm)
Saucer: Diam. 5 9/16 in. (14.1 cm)","Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2799,https://www.wikidata.org/wiki/Q116370928,,"Metropolitan Museum of Art, New York, NY",Coat of Arms,http://vocab.getty.edu/page/aat/300126352,https://www.wikidata.org/wiki/Q14659,,,,,,,,,,,,,,,,
60.111.24,TRUE,2800,The American Wing,1960,Cup and saucer,Cup and Saucer,"Chinese, for American market",,,,,,,,,,,,,,,1700–1800,1700,1800,Porcelain,"Cup: H. 1 15/16 in. (4.9 cm); Diam. 3 1/2 in. (8.9 cm)
Saucer: Diam. 5 3/4 in. (14.6 cm)","Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2800,https://www.wikidata.org/wiki/Q116370926,,"Metropolitan Museum of Art, New York, NY",Eagles,http://vocab.getty.edu/page/aat/300250049,https://www.wikidata.org/wiki/Q2092297,,,,,,,,,,,,,,,,
"42.149.18, .28",TRUE,2839,The American Wing,1942,Cup and saucer,Cup and Saucer,Chinese,,,,,,,,,,,,,,,1800–1815,1800,1815,Porcelain,"Cup: H. 1 5/8 in. (4.1 cm); Diam. 3 1/2 in. (8.9 cm)
Saucer: H. 1 1/2 in. (3.8 cm); Diam. 5 5/8 in. (14.3 cm)","Gift of Mrs. J. Insley Blair, 1942",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2839,https://www.wikidata.org/wiki/Q116370894,,"Metropolitan Museum of Art, New York, NY",Eagles,http://vocab.getty.edu/page/aat/300250049,https://www.wikidata.org/wiki/Q2092297,,,,,,,,,,,,,,,,
"42.149.19, .29",TRUE,2840,The American Wing,1942,Cup and saucer,Cup and Saucer,Chinese,,,,,,,,,,,,,,,1800–1815,1800,1815,Porcelain,"Cup: H. 1 5/8 in. (4.1 cm); Diam. 3 1/2 in. (8.9 cm)
Saucer: H. 1 1/2 in. (3.8 cm); Diam. 5 5/8 in. (14.3 cm)","Gift of Mrs. J. Insley Blair, 1942",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2840,https://www.wikidata.org/wiki/Q116370893,,"Metropolitan Museum of Art, New York, NY",Eagles,http://vocab.getty.edu/page/aat/300250049,https://www.wikidata.org/wiki/Q2092297,,,,,,,,,,,,,,,,
38.165.40,TRUE,2843,The American Wing,1938,Cup,Cup,Chinese,,,,,,,,,,,,,,,1785–1805,1785,1805,Porcelain,H. 2 1/2 in. (6.4 cm); Diam. 2 1/4 in. (5.7 cm),"Harris Brisbane Dick Fund, 1938",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2843,https://www.wikidata.org/wiki/Q116370900,,"Metropolitan Museum of Art, New York, NY",Coat of Arms,http://vocab.getty.edu/page/aat/300126352,https://www.wikidata.org/wiki/Q14659,,,,,,,,,,,,,,,,
